"","ETBL_ID","ETBL_NOM_FR","ADR_CIVIQUE","ADR_MUNICIPALITE","ADR_CODE_POSTAL","ADR_LATITUDE","ADR_LONGITUDE"
"1415",1133962,"L'ABRI DES FLOTS","687, ch. des Pionniers E.","Cap-Saint-Ignace","G0R1H0",47.065333,-70.450045
"1416",1134017,"CHÂTEAU REPOTEL DUPLESSIS","6555, boul. Wilfrid-Hamel","L'Ancienne-Lorette","G2E5W3",46.789878,-71.353309
"1417",1134280,"HÔTEL MANOIR VICTORIA","44, côte du Palais","Québec","G1R4H8",46.814622,-71.210747
"1418",1134371,"HÔTEL HOLIDAY INN EXPRESS QUÉBEC OUEST","3145, av. des Hôtels","Québec","G1W3Z7",46.758862,-71.295315
"1419",1134449,"HÔTEL COMFORT INN SEPT-ÎLES","854, boul. Laure","Sept-Îles","G4R1Y7",50.225193,-66.39053
"1420",1134531,"MOTEL DE LA FALAISE","47, av. de Gaspé E.","Saint-Jean-Port-Joli","G0R3G0",47.217009,-70.267482
"1421",1134600,"AUBERGE DES GLACIS","46, rte de la Tortue","L'Islet","G0R1X0",47.120072,-70.313649
"1422",1134684,"LES STUDIOS DU DOMAINE FORGET","5, rang St-Antoine","Saint-Irénée","G0T1V0",47.56375,-70.206186
"1423",1134755,"HÔTEL COMFORT INN RIVIÈRE-DU-LOUP","85, boul. Cartier","Rivière-du-Loup","G5R4X4",47.85083,-69.541268
"1424",1134894,"AUBERGE DE LA RIVIÈRE SAGUENAY","9122, ch. de la Batture","Saguenay","G7B3P6",48.350508,-70.731319
"1425",1135185,"AUBERGE CHEZ DENIS À FRANÇOIS","404, ch. d'En Haut","Les Îles-de-la-Madeleine","G4T9A8",47.237349,-61.845996
"1426",1135256,"HÔTEL COMFORT INN SAGUENAY","1595, boul. Talbot","Saguenay","G7H4C3",48.400963,-71.061667
"1427",1135413,"MOTEL CHANTMARTIN","414, rue du Bateau-Passeur","Tadoussac","G0T2A0",48.149649,-69.715238
"1428",1135481,"HÔTEL COMFORT INN RIMOUSKI","455, boul. St-Germain","Rimouski","G5L3P2",48.439515,-68.55267
