ETBL_ID;ETBL_TYPE_GENRE;ETBL_TYPE_ID;ETBL_TYPE_FR;ETBL_TYPE_EN;ETBL_TYPE_GRP_ID;ETBL_TYPE_GRP_FR;ETBL_TYPE_GRP_EN;ETBL_TYPE_CATG_ID;ETBL_TYPE_CATG_FR;ETBL_TYPE_CATG_EN
851083;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
851143;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
851340;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
851421;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
851455;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
851581;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
851676;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
851729;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
851852;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
851898;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
851975;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
852076;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
852254;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
852336;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
852386;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
852446;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
852501;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
852580;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
852746;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
852815;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
853003;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
853244;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
853301;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
853344;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
853420;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
853465;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
853846;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
853904;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
854119;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
854446;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
854933;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
855223;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
855312;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
855375;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
855423;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
855491;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
855558;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
855647;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
855732;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
855958;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
856206;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
856281;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
856379;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
857017;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
857172;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
857244;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
857478;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
857559;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
